,Label
326923,1
2286630,1
2336195,1
183871,1
178978,1
1081699,0
472283,1
48478,1
353381,1
33349,1
47908,1
1341042,0
2429764,0
2229028,1
2251576,1
348274,1
141971,1
2005084,0
1466945,0
2771358,0
52209,0
721624,0
2806574,0
35456,1
109099,1
58086,1
2423898,1
298906,0
119907,0
790467,0
143535,1
2820789,0
2507006,0
137496,0
2225433,1
2284464,1
975354,0
736643,0
2395586,1
2311294,1
1632130,0
730446,0
2122707,0
2379889,1
125423,1
499260,1
2574148,0
394970,1
399995,1
2219272,1
808247,0
1818286,0
1135708,0
567209,0
515152,0
2455927,1
2778542,0
2248915,1
1143819,0
2468938,1
2394745,1
674533,0
2242188,1
1417098,0
1792238,0
1222977,0
561080,0
470758,1
1506873,0
2404749,1
2783119,1
2227957,1
2251629,1
477339,1
2301346,1
1602119,1
2030491,0
1484503,0
2248750,1
1457247,0
46869,1
2378501,1
686628,0
1221536,0
2820085,0
1491018,0
317179,1
1728295,1
531869,0
452123,1
897862,0
451676,1
54086,1
326773,1
2284761,1
1488790,0
2662597,0
2184392,0
601180,0
1286671,0
254608,0
325526,1
2364036,1
1612742,0
343707,1
154245,1
1625999,0
2388921,1
2300041,1
393221,1
2025057,0
400605,1
91932,1
1292651,0
2762914,0
1232427,0
53782,1
1671131,0
2429939,1
105537,1
2093601,0
170064,1
512733,0
2755960,1
2803788,1
2351500,1
2298534,1
2502485,0
2313684,1
54556,1
974008,0
2475022,0
2784984,0
2378763,1
1227304,0
2327721,1
2421612,1
1654875,0
984919,0
863789,0
995038,0
105907,1
511351,0
539407,0
149380,1
661962,0
46873,1
313983,1
480475,0
2363247,1
159650,1
430534,1
2281998,1
493045,1
391730,1
2207824,1
1358473,0
449293,1
926646,0
1752307,0
1259503,0
73045,1
2234973,1
1514493,0
2654285,0
1535769,0
1749567,1
124571,1
674719,0
135417,1
2425444,1
70031,0
2305791,1
865091,0
389363,1
1750493,1
929053,0
2265978,1
2201147,0
44976,1
152733,1
2367324,1
321579,1
1641791,0
2829280,0
2795453,0
19096,1
187527,1
712101,0
2812473,1
1656128,0
72879,1
2355997,1
106448,1
2427743,1
35436,1
2442606,1
1439509,0
2386612,1
2415055,1
148671,1
472661,1
2353217,1
1346247,0
23221,1
2428868,1
1272714,0
338672,1
447953,1
2412844,1
1189074,0
118957,1
823419,0
1748221,0
2297536,1
2802950,0
363687,1
471608,1
2579184,0
1226801,0
472551,1
377194,1
1570607,0
1139320,0
2379048,1
1052681,0
2372388,1
2222938,1
2350134,1
2336327,1
97595,1
2308968,1
2305129,1
2210542,1
2376352,1
126389,1
169666,1
112991,1
1098937,0
212075,0
2282018,1
456436,1
398672,1
104632,0
35614,1
350100,1
2736878,1
39586,1
689720,0
1985089,0
1344512,0
56942,1
677789,0
1232250,0
2102208,0
2385084,1
332877,1
416313,0
129083,0
2342729,1
1418498,0
2292806,1
1266313,0
189505,1
1926836,0
213830,0
2334454,1
400512,1
722665,0
932055,0
1749698,0
397155,1
2310361,1
2238037,1
320289,1
2451609,1
366015,1
1773163,0
424138,1
402594,1
2313796,1
333880,1
353689,1
2229099,1
395022,1
2261393,1
1849197,0
1720873,1
420955,1
29942,1
1711622,0
1861601,1
2252500,1
644959,0
1949229,0
1049815,0
265791,0
813581,0
2430571,1
957831,0
2237141,1
2283279,1
188714,1
2128296,0
403658,1
2356205,1
2826459,0
2563250,0
388678,1
2414138,1
578503,0
1501754,0
400154,1
2316105,1
723756,0
538118,0
35219,1
2218348,1
208532,0
703951,0
2686938,0
371292,1
2374353,1
1377709,0
1745327,0
46453,1
1271221,0
54362,1
1904002,0
2225267,1
1750032,0
1794375,0
2218571,1
1681850,0
2811223,0
2214514,1
2295270,1
2174674,0
2131199,0
326986,1
2597534,0
2216177,1
213712,0
161770,1
545074,0
1296328,0
1496075,0
114497,1
1747905,0
2288486,1
2264119,0
738532,0
145146,1
2345821,1
1681361,0
2311618,1
2437534,1
313854,1
2441748,1
1521972,0
2369240,1
1159000,0
2463405,0
2421433,1
2513209,0
1898199,0
806058,0
2191424,0
1321033,0
1010189,0
2385123,1
34425,1
80088,1
2326845,1
2637933,0
2423100,1
219105,0
2781746,0
324532,1
635658,0
886353,0
32269,0
52280,0
1809985,0
745375,0
143742,1
2216330,1
1341826,0
2298126,1
2435842,1
2454581,1
451220,1
340810,1
545657,0
130276,0
2013949,0
2331663,1
2382937,1
2467032,1
2434053,1
350393,1
349173,1
2321384,1
949388,0
1611724,0
697609,0
189953,1
25514,1
2213734,1
2365337,1
1626295,0
1551063,0
740450,0
2811928,0
1669684,0
393428,1
1703819,1
1784255,0
2796657,1
1655700,0
405496,1
2490606,0
2681320,0
2222049,1
2469809,1
92379,1
81338,1
348236,1
497311,1
1905387,0
2259689,1
1430521,0
2723545,0
2508409,0
164045,1
2813229,0
700689,0
350417,1
420747,1
2329778,1
2651504,0
1746906,1
341251,1
800352,0
1960973,0
82675,1
2457351,0
2072508,0
36180,1
49063,1
1065536,0
2370763,1
955138,0
1645735,0
2685656,0
223568,0
1345676,0
861210,0
2361168,1
342007,1
228018,0
2191395,0
164205,1
1807740,0
1465422,0
432181,1
2389526,1
211110,0
315982,1
1883850,0
2253119,1
163075,1
472642,1
2046896,0
408567,1
1250300,0
580040,0
450247,1
663342,0
427206,1
167224,1
1901698,0
2467214,1
2668183,0
2418057,1
371033,1
1749196,0
2406180,1
412768,1
435388,1
1538287,0
505785,0
618395,0
2174359,0
346364,1
2294004,1
2754833,0
2313394,1
680938,0
1380290,0
62933,1
1210452,0
2251000,1
178607,1
2732232,0
2283734,1
56277,1
2237487,1
1637903,0
2220182,1
1002796,0
98932,1
2584407,0
480155,1
2212870,1
731331,0
1372591,0
1102233,0
455969,1
2441696,1
372585,1
2401143,1
856327,0
2064153,0
2470282,1
150100,1
52681,1
2268583,1
2352313,1
354809,1
1062240,0
2716701,0
2032464,0
1494302,0
276712,0
429308,1
868123,0
2376646,1
2333470,1
1365769,0
2377070,1
2246599,1
2270298,1
762707,0
1836199,0
327493,1
2496594,0
1475529,0
1639787,0
2428938,1
436031,1
1250746,0
2456391,0
1075069,0
19734,1
168676,1
2337491,1
2323619,1
366891,1
183531,1
369712,1
1313906,0
2265912,1
1018563,0
1976824,0
2218026,1
2248452,1
25655,1
80851,1
2087538,0
1178480,0
393638,1
1950804,0
2259292,1
372108,1
1094001,0
2233167,1
656924,0
2268268,1
343177,1
2320339,1
407748,1
735175,0
2434819,1
1619159,0
181492,1
2221180,1
91213,1
2362974,1
2376339,1
2380911,1
2426180,1
170980,1
1203378,0
1033663,0
2004821,0
1849477,0
1400790,0
1812472,0
713924,0
2305566,1
2249088,1
2418387,1
736087,0
2443798,1
1156255,0
356544,1
971984,0
1673123,0
2342528,1
2431994,1
1880045,0
1692894,0
362706,1
1105759,0
1311675,0
1196285,0
101066,1
2794448,0
175817,0
852543,0
228914,0
756890,0
261841,0
834230,0
116407,1
712876,0
2338559,1
2115817,0
2674168,1
2392926,1
811935,0
2325841,1
2255194,1
2775557,0
2261206,1
172278,1
1812455,0
2370503,1
2288378,1
334863,1
374686,1
2377827,1
143018,1
167761,1
2282624,1
405842,1
2295072,1
93152,1
336007,1
444837,1
759891,0
2233381,1
2349008,1
1208151,0
2131551,0
2368748,1
2025341,0
1286551,0
1732279,1
2522066,0
158347,1
1080490,0
3761,0
1324092,0
403925,1
1180064,0
1455381,0
2402630,1
2601532,0
415311,1
355076,1
1934204,0
2290209,1
2407138,1
1727300,0
2207219,1
2138089,0
736409,0
2442948,1
895771,0
2376606,1
20470,1
1257814,0
2234520,1
2739593,0
603986,0
2799694,1
1818321,0
455099,1
611894,0
2446156,1
862049,0
2052992,1
188920,1
89680,1
614243,0
993505,0
2633810,0
320291,1
2414936,1
1070082,0
2299318,1
758235,0
1883211,1
2810214,0
2780398,0
2266789,1
383721,1
448218,1
413054,1
660846,0
35783,1
102087,1
1647157,0
2472345,0
1945488,0
56803,1
2328411,1
2663806,0
1641949,0
1216097,0
416971,1
181346,1
2275731,1
1207769,0
77336,1
1749051,0
36596,1
1942681,0
388140,0
2738015,0
132008,1
425426,1
965548,0
746345,0
1541295,0
1354673,0
2646512,0
1775927,0
2115784,0
2443245,1
1198886,0
1175310,0
696994,0
2152925,0
1751808,0
2208034,1
509949,0
1693797,0
1891306,0
105015,1
146221,0
407759,1
1077920,0
648173,0
2420618,1
364756,1
1301920,0
419205,1
106314,1
2441944,1
425758,1
602424,0
2291126,1
332201,1
2425112,1
2293941,1
2346092,1
1779739,0
2297757,1
1902751,0
2769411,0
1129862,0
2212313,1
2229623,1
710287,0
1140291,0
918931,0
331413,1
1187670,0
1665846,0
2224026,1
2310091,1
427310,1
241150,0
337199,1
2057446,0
2344986,1
2086480,0
133857,1
1441037,0
1442548,0
2319738,1
2364263,1
2780277,0
424065,1
1625472,0
2781931,0
2242026,1
2107608,0
170165,1
2163785,0
91202,1
1642231,0
2273196,1
2786446,1
2361726,1
432318,1
1286621,0
47262,1
1907061,0
2216211,1
2701196,0
1205939,0
2108390,0
2316321,1
397104,1
1847616,0
2158848,0
170761,1
2231712,1
1459727,0
2390530,1
383655,1
163413,1
1274297,0
2222291,1
634558,0
39216,1
83939,1
773815,0
708473,0
495978,1
2061534,0
437099,1
1422333,0
2417353,1
87265,0
277279,0
414462,1
2193395,1
907305,0
1790488,0
2411884,1
1072930,0
39071,1
945430,0
1099191,0
707840,0
659608,0
2206865,1
1885898,0
1719349,0
86374,0
1829281,0
2231307,1
531830,0
2290477,1
2413875,1
1374112,0
2587769,0
2432661,1
545036,0
1822446,0
2360567,1
451736,1
510277,0
1805361,0
820225,0
622201,0
2349578,1
2046203,0
2296938,1
107505,1
2425118,1
2285361,1
234959,0
2219708,1
919571,0
2180310,1
388120,1
1705684,1
2221175,1
1643198,0
701876,0
140576,1
2660292,1
2517746,0
2372756,1
88588,1
2429457,1
2017731,0
1863303,1
483135,0
715927,0
2170073,1
592576,0
1697599,0
11415,0
405913,1
723629,0
2193277,1
443509,1
2441781,1
2476579,0
2530992,0
252727,0
316282,1
2225760,1
500943,1
2234071,1
1005809,0
84428,1
984295,0
2402628,1
1351275,0
52578,1
474067,1
2714020,0
2217338,1
1223095,0
271238,0
1937844,0
2213434,1
471753,0
519311,0
974635,0
116969,1
2305307,1
503137,1
483140,0
409518,1
2652994,0
2208457,1
1737029,0
2650775,0
419570,1
1607944,0
2258541,1
760117,0
393897,1
2422528,1
256937,0
2352227,1
2429254,1
43996,1
497886,1
190745,1
2605566,0
1603134,0
2232491,1
1543490,1
408196,1
608197,0
2301180,1
615278,0
443914,0
282105,0
1204570,0
2404701,1
158678,1
2193724,0
37600,1
472394,1
2760266,0
1511613,0
1533113,0
2363677,1
848499,0
960634,0
145007,1
1013034,0
2591914,0
75140,1
2405632,1
635207,0
716542,0
2308199,1
1393693,0
23115,1
2088317,0
401715,1
425091,1
13403,0
461080,0
1748862,1
2618662,0
376743,1
318051,1
728921,0
704887,0
499067,1
1854389,0
766159,0
432812,1
2533453,0
1697304,0
2650257,0
657879,0
365274,1
2299415,1
303444,0
1750643,0
1398643,0
2332547,1
2425791,1
1235499,0
1907446,0
2269635,1
2198353,1
2683186,0
205773,0
2267192,1
926205,0
204066,0
994954,0
1741397,1
453163,1
234427,0
1899537,0
2600671,0
1889660,0
431569,1
2575833,0
2341558,1
862398,0
343011,1
1177903,0
2559571,0
1555005,0
314218,1
1110641,0
1602658,1
381601,1
2977,0
1508320,0
2435973,1
439752,1
714721,0
177377,0
70038,0
1366622,0
1970725,0
301897,0
601102,0
2733411,0
2244504,1
2618305,0
2250590,1
2286811,1
2313628,1
1640328,0
2394291,1
2279661,1
583464,0
355824,1
313930,1
1916214,0
2356232,1
429579,1
1577383,0
2288578,1
1868231,0
2064584,0
2356677,1
216128,0
362211,1
281426,0
501373,1
2390862,1
2321022,1
448441,1
154128,1
314460,1
1447024,0
2360309,1
441779,1
2201652,0
2293721,1
391297,1
1699399,0
163457,1
789540,0
840775,0
2387744,1
2788066,0
105546,1
1521924,0
2276983,1
750145,0
422345,1
976324,0
2810013,0
854392,0
421270,1
2291659,1
2402021,1
636809,0
2387451,1
489188,0
856758,0
2423587,1
73354,1
1038613,0
201234,0
1644223,0
2457063,1
2109045,0
393533,1
2233234,1
2317143,1
2022617,0
161748,1
459065,0
2192510,0
1718187,1
2812120,0
1014601,0
1099533,0
1863712,0
2142028,0
882874,0
1420743,0
467388,1
2335598,1
2113463,0
376001,1
2531634,0
700064,0
2221390,1
1874308,0
2788390,0
625968,0
2016613,1
2646170,0
2322820,1
1683713,0
2333744,1
480269,1
145420,1
182690,1
1457699,0
440546,1
2740509,0
951031,0
631045,0
2485344,0
2309988,1
727009,0
166592,0
1414585,0
2361208,1
1697633,0
2372263,1
351753,1
339988,1
1263417,0
1169819,0
2458578,1
2501665,0
2032260,0
2301931,1
320350,1
265181,0
25080,1
2310454,1
2412717,1
1400159,0
2796545,0
1110973,0
413903,1
344054,1
1735030,1
765172,0
2220145,1
2350202,1
1290943,0
137173,1
1963970,0
2462473,1
395206,1
2426729,1
336883,1
140532,1
336232,1
2436709,1
2461595,1
2464058,1
2388122,1
2620927,0
2331100,1
1848287,0
2307583,1
2518552,0
798683,0
1022464,0
1403426,0
970805,0
1423570,0
2321558,1
1214520,0
2314656,1
1031507,0
1064955,0
2328659,1
2441354,1
797904,0
2238661,1
1271088,0
494980,1
830968,0
2215500,1
116442,1
1444937,0
2238516,1
25120,1
2415773,1
2461484,1
149395,1
727142,0
2407527,1
17585,0
2207156,1
1548763,0
215778,0
2180103,1
2791476,0
347341,1
1448698,0
1799532,0
1705668,1
733192,0
90265,1
2456053,1
1889975,0
1752284,0
1832527,0
2078822,0
2800239,0
2309127,1
2703499,0
2463773,1
373801,1
1811634,0
2297603,1
1403318,0
2412788,1
2310935,1
2437172,1
2270488,1
980163,0
1168276,0
2415079,1
2248483,1
23752,1
2663652,0
1973597,0
1362337,0
1884125,1
2131922,0
2565056,0
2485834,0
171629,1
217650,0
91822,1
1462100,0
2388441,1
1942919,0
710156,0
2712704,0
237056,0
20902,1
876656,0
437354,1
2756174,1
588912,0
2710425,0
2465246,1
636350,0
928422,0
220337,0
632815,0
921969,0
1242198,0
1637026,0
2258901,1
1945156,0
35924,1
1280882,0
2505109,0
1638817,0
1276747,0
2606498,0
2615599,0
2760518,0
1684403,0
2661233,0
1506356,0
2390567,1
164430,0
435951,1
2423845,1
2431382,1
2466564,1
1968525,0
103219,0
2772486,0
19522,1
1798161,0
949807,0
1954244,0
372172,1
2749186,0
545442,0
2706270,0
2214992,1
660327,0
1905944,0
472196,1
1284400,0
2399628,1
420075,1
363145,1
2443677,1
1748751,1
2096918,0
1718070,1
107184,1
450307,1
192149,1
27413,1
2421931,1
364687,1
2264452,1
2299447,1
1630301,0
186961,0
216014,0
400812,1
1217160,0
2073696,0
421160,1
1757540,1
2227946,1
94345,1
255038,0
160915,1
1787607,0
2302142,1
528012,0
791886,0
2280123,1
1133508,0
2713546,0
93952,1
1204816,0
1749458,1
2369706,1
64263,1
2272048,1
1894452,0
591293,0
1717469,0
55996,1
2038243,0
102213,1
1611730,0
446621,1
2278460,1
2364776,1
1519479,0
183855,1
2581745,0
1985934,0
436354,1
851602,0
2215507,1
890356,0
1706072,1
2345220,1
2309611,1
736405,0
1334674,0
2555164,0
716455,0
1055819,0
361984,1
1767412,0
2463761,1
197318,1
2382458,0
2313154,1
1732779,0
2644384,0
817694,0
2394677,1
40012,0
966336,0
1374631,0
490445,0
2350857,1
2521117,0
336529,1
2345940,1
2229049,1
393086,1
259494,0
1796401,0
517478,0
314680,1
2441752,1
1562394,0
1965856,0
540857,0
2320316,1
2279871,1
2026235,0
2244368,1
434001,1
167138,1
545597,0
379750,1
1009154,0
2288079,1
930397,0
514948,0
2640691,0
396977,1
2434734,1
564955,0
771145,0
2406380,1
2470216,1
1311931,0
853832,0
2736302,0
2788493,0
1469988,0
2088478,0
1495760,0
2246691,1
2309277,1
2207273,1
1839730,0
159634,1
1883599,1
411626,1
68020,1
2334515,1
2052742,0
2266817,1
2216401,1
2339916,1
356338,1
547722,0
510650,0
902385,0
101466,1
2233122,1
11045,0
1952049,0
2447457,0
365304,1
2253754,1
2179092,1
1780921,0
2376747,1
142641,1
432018,1
2181053,0
2346038,1
2271096,1
2119712,0
338381,1
127046,1
758044,0
132367,1
100834,1
1610372,0
113135,1
159564,1
1511445,0
650856,0
352932,1
2142752,0
153400,1
2251281,1
435490,1
921865,0
1146135,0
399595,1
1466539,0
106600,1
196948,1
2302378,1
1616701,0
940686,0
2123680,0
1363065,0
1236452,0
2363719,1
53873,1
434314,1
2377623,1
381687,1
110512,1
2027112,0
953257,0
2365797,1
678713,0
471284,1
2153450,0
2043873,0
539674,0
59873,0
1570745,0
34579,1
2515278,0
200001,0
2233559,1
1328010,0
2408624,1
1416629,0
1630190,0
1137128,0
2328249,1
2420065,1
14729,0
1005712,0
2321380,1
394401,1
2285451,1
2350898,1
1803791,0
1946502,0
58499,1
190534,1
320951,1
1033503,0
1575365,0
2532787,0
67788,1
70472,0
2227973,1
2340904,1
391540,1
2228237,0
1540769,1
725605,0
2684619,0
430024,1
2538628,0
2469067,1
2495806,0
966948,0
2292235,1
2078399,0
493535,1
1395977,0
2521174,0
1567210,1
1968167,0
1324828,0
205056,0
2455478,1
2544484,0
2261933,1
404157,1
2360224,1
905337,0
1211813,0
721951,0
2278155,1
2262003,1
1719095,1
2491647,0
2396034,1
2338724,1
141657,1
2655954,0
837280,0
962875,0
2688997,0
2405062,1
365641,1
340831,1
62226,1
2149748,0
1811559,0
973210,0
21551,0
500169,1
2675607,0
2726069,1
1037961,0
381143,1
1658158,0
1893142,0
909662,0
2675121,0
2577004,0
983690,0
178754,1
2453731,1
1269295,0
667996,0
2298908,1
1672378,0
1802298,0
212433,0
1238619,0
436165,1
302460,0
2436026,1
2295359,1
480105,0
861655,0
326136,1
476240,1
37371,1
2822586,0
581926,0
450827,1
124059,1
1545255,0
2433118,1
2125530,0
1575828,0
1101494,0
1884661,0
1839047,0
2143164,0
443781,1
2420622,1
313807,1
1343353,0
191703,1
959285,0
2397158,1
153744,1
2454881,1
1878157,0
2406749,1
2292999,1
2365397,1
1052930,0
808980,0
44728,1
406224,1
2551149,0
445976,1
231475,0
141363,1
331033,1
1782421,0
291167,0
529894,0
760761,0
628876,0
1711714,0
2287182,1
1994715,0
1751361,0
114865,1
2200122,1
2444628,1
326438,1
1096420,0
2706587,0
973971,0
549579,0
713544,0
80505,1
1232260,0
345890,1
1128457,0
2382777,1
626385,1
1807972,0
2214522,1
391162,1
325664,1
2202594,0
178241,1
2352409,1
1571429,0
104498,0
2354090,1
811088,0
2215176,1
547466,0
1157213,0
1678122,0
531504,0
30662,1
1535942,0
406308,1
1957428,0
1579825,0
2483690,0
1551540,0
428183,1
117034,1
884542,0
125462,1
1583677,0
405222,1
1572175,1
444885,1
1663464,0
1902848,0
642882,0
98326,1
1325218,0
2302270,1
2356436,1
2315071,1
2150333,0
2383920,1
500628,1
2452292,1
2391155,1
1633224,0
440711,1
2427948,1
398738,1
646435,0
1782844,0
2175706,0
1418579,0
2244184,1
2223928,1
341497,1
1327550,0
398989,1
2516776,0
2704804,0
2302693,1
153870,1
432641,1
1647886,0
374889,1
2360978,1
666554,0
1138083,0
478157,1
92954,1
1883471,0
377877,1
2763478,0
411668,1
601561,0
45159,1
77315,1
416510,1
1995119,0
39903,1
1123648,0
2623735,0
392743,1
623247,0
1461564,0
1253954,0
381554,1
705515,0
2316506,1
2195143,1
2461073,1
2275117,1
1571923,1
942870,0
118750,1
168137,1
2367050,1
2235886,1
163072,1
2417646,1
2411397,1
338825,1
922167,0
366395,1
858203,0
446135,1
90989,1
1750453,1
2226242,1
1971184,0
2800204,0
384738,1
1686798,0
343491,1
2200077,1
528179,0
1879172,0
411456,1
2353623,1
979830,0
126023,1
1067700,0
2158602,0
1837343,0
101561,1
976407,0
2249606,1
183679,1
2266282,1
2337367,1
346733,1
2240894,1
435049,1
2540571,0
34187,1
465904,0
1218611,0
2320086,1
2560458,0
1386300,0
2549032,0
2416373,1
1164624,0
114870,1
384929,1
956601,0
2428589,1
436844,1
80191,1
1183044,0
1826411,0
123212,1
445137,1
1335946,0
424189,1
1219723,0
354715,1
208310,0
988266,0
380206,1
2612730,0
1920020,0
2706943,0
52820,1
2119037,0
2329434,1
26856,1
116342,1
600886,0
1000035,0
1169447,0
2347433,1
1599296,1
90980,1
53686,1
1704252,0
476154,1
2167807,0
2217312,1
645342,1
127381,1
1167525,0
1920932,0
657163,0
26756,1
2408613,1
2099397,0
569256,0
2384643,1
2284833,1
2401162,1
133557,1
1662339,0
2556476,0
2752220,0
834561,0
834565,0
2122287,0
1070066,0
150234,1
355356,1
271906,0
1509326,0
126604,1
451759,1
241019,0
313766,1
1034140,0
1752033,1
1665541,0
1424130,0
1225955,0
1319331,0
322572,1
2346085,1
829543,0
64716,1
398155,1
1410643,0
2732455,0
419328,1
2733040,0
1208149,0
1600478,0
178275,1
344527,1
389870,1
562132,0
1422594,0
1739388,0
2522534,0
2738909,0
2337564,1
911558,0
440139,1
588635,0
2271084,1
86356,0
419661,1
85291,1
1858157,0
1779209,0
2197205,0
1138495,0
1813311,0
2013008,0
98993,1
2401340,1
195749,0
26374,1
282589,0
501998,0
2048898,0
2595805,0
798561,0
535107,0
2320569,1
2047951,0
28229,1
101847,1
2269466,1
674758,0
1244423,0
1200961,0
225954,0
1256204,0
2224660,1
869359,0
168229,1
57631,1
2203043,0
1162536,0
392527,1
1858608,0
211859,0
2584976,0
28471,1
374483,1
2033704,0
192279,1
1239455,0
2341706,1
2381446,1
207010,0
130598,0
2398508,1
2411439,1
2282639,1
451727,1
1499350,0
74404,1
1180857,0
2356237,1
2303223,1
1629654,0
2086346,0
1648596,0
118856,1
1223599,0
1539699,0
680962,0
1446949,0
590320,0
609914,0
1011982,0
394422,1
411525,1
2272679,1
1027654,0
2437096,1
2357419,1
1719328,0
137818,0
2233475,1
1122223,0
2263869,1
153108,1
131842,1
1435792,0
2300569,0
709549,0
627653,0
1264732,0
2293778,1
2827629,0
692692,0
535571,0
1812870,0
330261,1
2435188,1
2219111,1
2340837,1
1706218,1
2050626,0
2736850,0
2440002,1
477336,1
1335446,0
549507,0
2211505,1
2343728,1
115158,1
421011,1
2298794,1
2436223,1
1494172,0
2322386,1
1989835,0
132236,1
2470314,0
2251841,1
2458410,1
2285918,1
2327989,1
2257160,1
517829,0
1862807,0
2319840,1
2452988,1
1835370,0
1702071,0
621886,0
435922,1
988295,0
1936865,0
2251377,1
2332360,1
2658205,0
2235782,1
2276702,1
1302050,0
1412088,0
2401764,1
151789,1
2692029,0
2286839,1
2360994,1
1892655,0
1006420,0
2374463,1
1753626,0
2816138,0
1503928,0
1998566,0
829640,0
2430262,1
1849079,0
2336154,1
2739296,0
861941,0
930460,0
1926416,0
2294291,1
642145,0
407549,1
500296,1
232725,0
2807367,0
430991,1
163038,1
716163,0
23724,1
2351599,1
388693,1
2163258,0
365959,1
396311,1
949026,0
169278,1
2755644,0
401155,1
2063242,0
1443837,0
1554394,0
440899,1
854490,0
160186,1
2472693,0
2772254,0
2324719,1
1460880,0
1951278,0
1089367,0
931791,0
2464285,1
2569302,0
248676,0
2650212,0
666373,0
182775,1
324678,1
1603959,0
1628377,0
167962,1
2394094,1
2188220,1
1731380,0
1341869,0
2456560,1
2339923,1
